ein,name,street,city,state,zip,affiliation,deductibility,activity,organization,tax_period,asset_cd,income_cd,filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,elf,tax_pd,subseccd,totrevnue,totliabend,filedf990tcd,gftgrntsrcvd170,grsrcptsrelated170,exceeds1pct509,grsinc509
10027748,BENEVOLENT & PROTECTIVE O,1945 CONGRESS ST,PORTLAN,ME,04102-1903,9,1,279265000,5,2,4,5,1,3,322223,572214,193411,N,201603,8,0,264228,Y,0,0,0,0
10028850,BERWICK CEMETERY ASSOCIAT,PO BOX 227,BERWICK,ME,03901-0227,3,1,0,1,2,6,5,1,3,2247879,552029,235239,N,201203,13,28965,0,N,0,0,0,0
10096117,ISLAND COUNTRY CLUB,442 SUNSET RD,DEER IS,ME,04627-3869,3,2,0,1,2,5,4,1,12,506737,310046,276693,Y,201512,7,122726,5923,N,0,0,0,0
10114140,MAINE WOMANS CHRISTIAN TE,714 CONGRESS ST,PORTLAN,ME,04102-3306,2,2,59328029,1,2,4,2,2,8,268574,12481,2099,N,201508,4,0,0,N,0,0,0,0
10199895,AMERICAN LEGION POST 0147,353 MAIN ST,MADAWAS,ME,04756-1477,9,1,907908000,1,2,5,5,1,5,814556,992229,254455,Y,201605,19,0,3520,N,0,0,0,0
10211503,FRANKLIN MEMORIAL HOSPITA,111 FRANKLIN HEA,FARMING,ME,04938-6144,3,1,179000000,1,2,8,9,1,9,46022229,76130100,76070733,Y,201509,3,77961887,31158241,N,0,0,0,0
10211539,PATTEN FREE LIBRARY,33 SUMMER ST,BATH,ME,04530-2632,3,1,61000000,1,2,7,6,1,6,9543725,1490529,1490529,N,201606,3,68541,2979,N,2429830,0,0,0
10228297,SKIDOMPHA LIBRARY ASSOC,PO BOX 70,DAMARIS,ME,04543-0070,3,1,61000000,1,2,6,5,1,6,4267139,726341,698694,N,201606,3,76504,5093,N,2033787,393012,0,0
10239808,LINCOLN COUNTY HISTORICAL,PO BOX 61,WISCASS,ME,04578-0061,3,1,59062000,1,2,5,4,1,12,580587,134652,130405,N,201512,3,85570,87,N,313150,23207,0,0
10247347,DERBY ATHLETIC ASSN,37 PARK ST,LEWISTO,ME,04240-7195,3,2,298317318,1,2,1,3,0,12,255,60312,27562,N,201512,7,28132,0,N,0,0,0,0
10267159,NATIONAL SOCIETY OF COLON,1267 WESTBROOK S,PORTLAN,ME,04102-1934,3,1,62000000,1,2,6,4,1,4,1146593,181796,-24169,N,201504,3,4729,0,N,92598,0,0,0
10275545,LONESOME PINE TRAILS INC,PO BOX 372,FORT KE,ME,04743-0372,3,2,328318319,1,2,4,4,1,10,289974,198902,183688,Y,201510,4,110565,50240,Y,0,0,0,0
10277678,KENNEBEC VALLEY COMMUNITY,97 WATER ST,WATERVI,ME,04901-6339,3,1,602000000,1,2,8,8,1,9,17547306,23043115,22924334,Y,201509,3,9410966,15326324,N,58616516,35629186,0,0
10278395,WOODFORDS FAMILY SERVICE,PO BOX 1768,PORTLAN,ME,04104-1768,3,1,30160000,5,2,6,8,1,6,4877197,18511259,18491774,Y,201506,3,16062893,1533984,N,0,0,0,45468
10280430,HOUSING INC FORT KENT,PO BOX 466,FORT KE,ME,04743-0466,3,2,382575402,1,2,6,4,1,12,3765242,390018,390018,Y,201512,4,383565,1516903,N,0,0,0,0
10286071,KAPPA DELTA PHI INC,373 SOUTH WILLOW,MANCHES,NH,03103-5751,6,2,59036040,1,2,3,4,1,8,64984,106131,106131,Y,201508,7,0,0,N,0,0,0,0
10323144,GREATER PORTLAND CHRISTIA,1338 BROADWAY,S PORTL,ME,04106-4147,3,1,30000000,1,2,5,5,1,6,551096,968317,968317,Y,201606,3,799408,217485,N,0,0,0,0
10328376,EASTERN AGENCY ON AGING,450 ESSEX ST,BANGOR,ME,04401-3937,3,1,569000000,1,2,6,6,1,9,2215676,2782078,2782078,Y,201509,3,160059,540192,N,12191950,422929,0,0
10340261,HOWLAND HOUSING CORPORATI,66 WATER ST,HOWLAND,ME,04448-3707,3,1,382000000,1,2,4,3,1,12,187462,93613,93613,Y,201512,3,104508,96464,N,40097,64391,0,0
10346779,NORRIDGEWOCK HOUSING CORP,PO BOX 487,NORRIDG,ME,04957-0487,3,2,382000000,1,2,5,4,1,12,537130,189557,189557,Y,201512,4,190389,227242,N,0,0,0,0
10349310,INDEPENDENCE ADVOCATES OF,2 HILLSIDE RD,ORONO,ME,04473-4459,3,1,575160000,1,2,6,6,1,6,1004569,4099228,4099228,Y,201506,3,3521201,1277123,N,111102,0,0,0
10354589,EASTPORT HEALTH CARE INC,30 BOYNTON ST,EASTPOR,ME,04631-1306,3,1,179465154,1,2,6,7,1,6,2606330,5298152,5298152,N,201606,3,3412419,663655,N,4877304,3412419,0,0
10357293,HERITAGE COURT INC,501 DANFORTH ST,PORTLAN,ME,04102-3665,3,1,380000000,1,2,5,0,2,6,967077,0,0,Y,201606,3,0,0,N,964587,324876,0,0
10357910,MOUNT DESERT FESTIVAL OF,PO BOX 862,NE HARB,ME,04662-0862,3,1,119000000,1,2,5,4,1,3,710033,131728,131728,Y,201603,3,18291,0,N,0,0,0,55138
10359659,ELLSWORTH HISTORICAL SOCI,PO BOX 355,ELLSWOR,ME,04605-0355,3,1,62995000,1,2,4,2,2,12,474713,16641,16641,Y,201512,3,0,0,N,0,0,0,363
10360460,OLD BERWICK HISTORICAL SO,PO BOX 296,SOUTH B,ME,03908-0296,3,1,62000000,1,2,4,4,1,4,459122,102219,102050,Y,201604,3,59740,0,N,0,0,0,32635
10361298,BRUCE ROBERTS SANTA CLAUS,295 GANNETT DR,S PORTL,ME,04106-6910,3,1,560561000,1,2,4,4,1,2,194879,160094,160094,Y,201602,3,125583,0,N,611913,108,0,0
10365436,MAINE ASSOCIATION OF DIRE,50 INDUSTRIAL DR,AUGUSTA,ME,04330-7857,3,1,205000000,1,2,4,4,1,6,402806,269066,269066,Y,201606,3,245090,44003,N,12042,1474634,0,0
10368096,ALPHA ONE,127 MAIN STREET,SOUTH P,ME,04106-2647,3,1,160165000,5,2,6,6,1,6,1213527,3671518,3608372,Y,201506,3,1703640,2418140,N,11909595,6382687,0,0
10369255,RANGELEY HOUSING DEVELOPM,PO BOX 2506,AUGUSTA,ME,04338-2506,3,1,382995000,1,2,5,4,1,3,876920,357035,357035,Y,201603,3,110236,1358076,N,1269888,540940,0,0
10372148,EASTERN MAINE HEALTHCARE,140 ACADEMY ST,PRESQUE,ME,04769-3102,9,1,150152000,5,2,9,9,1,9,80435491,285503988,278270243,Y,201509,3,249234999,52053066,N,0,0,0,0
10386284,HOPE HAVEN GOSPEL MISSION,209 LINCOLN ST,LEWISTO,ME,04240-7817,3,1,5000000,1,2,4,5,1,12,376506,584556,584556,Y,201512,3,0,19739,N,2196798,0,0,0
10388492,TURNER PUBLIC LIBRARY,98 MATTHEWS WAY,TURNER,ME,04282-3930,3,1,61000000,1,2,4,4,1,6,368180,269651,31598,Y,201506,3,0,0,N,42644,0,0,0
10388818,MAINE ADAPTIVE SPORTS & R,8 SUNDANCE LN,NEWRY,ME,04261-3228,3,1,160298000,1,2,6,6,1,10,1242060,1387313,563031,Y,201510,3,0,0,N,3064253,2768,0,0
10389404,LITTLE LEAGUE BASEBALL IN,21 FALL MILL RD,YORK,ME,03909-5733,9,1,321059000,1,2,3,3,1,9,25658,64787,45796,N,201509,3,45796,0,N,0,0,68188,0
10412347,PINE TREE HOSPICE,883 W MAIN ST,DOVR FO,ME,04426-1029,3,1,179000000,1,2,4,4,1,9,310172,198781,198781,Y,201509,3,191486,45486,N,385384,58200,0,0
10413112,FRATERNAL ORDER OF EAGLES,354 SABBATHDAY R,GRAY,ME,04039-0000,9,2,260000000,5,2,4,4,1,5,431630,432900,432900,Y,201505,8,420298,5061,N,0,0,0,0
10417249,ORONO LAND TRUST INC,PO BOX 4,ORONO,ME,04473-0004,3,1,350995000,1,2,4,3,2,12,427229,47675,47675,Y,201512,3,19663,0,N,415909,5806,0,0
10426091,HOPE HOUSE NETWORK INC,163 ELM ST,MECHANI,ME,04256-5307,3,1,326000000,1,2,2,3,2,12,10690,31564,31564,N,201212,3,45730,0,N,0,0,0,0
10426275,ANDROSCOGGIN ALUMNI ASSOC,601 WEST ST,HARRISO,NY,10528-2508,3,1,0,1,2,3,2,2,12,56780,22855,22855,Y,201512,3,19065,0,N,64836,0,0,0
10443818,KATAHDIN AREA SUPPORT GRO,PO BOX 374,MILLINO,ME,04462-0374,3,1,408000000,1,2,3,2,2,12,36319,23326,23326,N,201512,3,16625,0,N,114997,0,0,0
10445163,ANSON MADISON AMBULANCE S,PO BOX 277,MADISON,ME,04950-0277,3,1,994159179,1,2,4,5,1,6,242779,909003,909003,Y,201506,3,833815,171134,N,761411,0,0,0
